h_x,h_y,error l2,mesh file name
0.01,0.1,0.003891194431875167,aniso_h1_0.01_h2_0.1.msh
0.005,0.05,0.0023517177132158637,aniso_h1_0.005_h2_0.05.msh
0.0025,0.025,0.00022857649343503093,aniso_h1_0.0025_h2_0.025.msh
0.00125,0.0125,8.787727306758002e-05,aniso_h1_0.00125_h2_0.0125.msh
0.000625,0.00625,1.9857424429044217e-05,aniso_h1_0.000625_h2_0.00625.msh
0.01,0.5,0.002219695001480411,aniso_h1_0.01_h2_0.5.msh
0.005,0.25,0.0022124917338727026,aniso_h1_0.005_h2_0.25.msh
0.0025,0.125,0.0006601447643558541,aniso_h1_0.0025_h2_0.125.msh
0.00125,0.0625,0.00029006154135142884,aniso_h1_0.00125_h2_0.0625.msh
0.000625,0.03125,0.000112874617624693,aniso_h1_0.000625_h2_0.03125.msh
0.005,0.5,0.0011560261006397807,aniso_h1_0.005_h2_0.5.msh
0.0025,0.25,0.00082563590608897,aniso_h1_0.0025_h2_0.25.msh
0.00125,0.125,0.0003948894699287267,aniso_h1_0.00125_h2_0.125.msh
0.000625,0.0625,0.0001502225478642561,aniso_h1_0.000625_h2_0.0625.msh
0.0003125,0.03125,6.053605616699169e-05,aniso_h1_0.0003125_h2_0.03125.msh
